,id,created_at,gst_amount,usdc_amount
0,116,2022-02-15 01:56:02,503180,1306929
0,117,2022-02-15 01:57:03,503180,1306929
0,118,2022-02-15 01:58:01,503068,1307221
0,119,2022-02-15 01:59:10,502845,1307803
0,120,2022-02-15 02:00:04,503347,1306513
0,121,2022-02-15 02:01:02,502418,1308937
0,122,2022-02-15 02:02:03,502415,1308946
0,123,2022-02-15 02:03:01,502415,1308946
0,124,2022-02-15 02:04:02,502415,1308946
0,125,2022-02-15 02:05:02,502415,1308946
0,126,2022-02-15 02:06:01,502403,1308975
0,127,2022-02-15 02:07:02,503082,1307214
0,128,2022-02-15 02:08:03,503082,1307214
0,129,2022-02-15 02:09:03,502889,1307717
0,130,2022-02-15 02:10:02,502900,1307690
0,131,2022-02-15 02:11:02,502900,1307690
0,132,2022-02-15 02:12:03,502900,1307690
0,133,2022-02-15 02:13:02,502900,1307690
0,134,2022-02-15 02:14:07,502900,1307690
0,135,2022-02-15 02:15:03,502880,1307741
0,136,2022-02-15 02:16:02,502880,1307741
0,137,2022-02-15 02:17:02,502880,1307741
0,138,2022-02-15 02:18:02,503903,1305095
0,139,2022-02-15 02:19:03,503903,1305095
0,140,2022-02-15 02:20:02,503903,1305095
0,141,2022-02-15 02:21:01,503898,1305108
0,142,2022-02-15 02:22:01,503898,1305108
0,143,2022-02-15 02:23:08,503853,1305224
0,144,2022-02-15 02:24:01,503853,1305224
0,145,2022-02-15 02:25:03,503853,1305224
0,146,2022-02-15 02:26:04,503668,1305707
0,147,2022-02-15 02:27:07,503668,1305707
0,148,2022-02-15 02:28:02,503667,1305707
0,149,2022-02-15 02:29:01,503622,1305826
0,150,2022-02-15 02:30:03,503622,1305826
0,151,2022-02-15 02:31:01,503622,1305826
0,152,2022-02-15 02:32:02,503638,1305783
0,153,2022-02-15 02:33:04,503610,1305856
0,154,2022-02-15 02:34:02,504269,1304156
0,155,2022-02-15 02:35:02,504269,1304156
0,156,2022-02-15 02:36:03,504269,1304156
0,157,2022-02-15 02:37:03,504269,1304156
0,158,2022-02-15 02:38:01,504603,1303294
0,159,2022-02-15 02:39:02,504592,1303323
0,160,2022-02-15 02:40:02,504592,1303323
0,161,2022-02-15 02:41:02,504518,1303516
0,162,2022-02-15 02:42:08,504518,1303516
0,163,2022-02-15 02:43:02,504518,1303516
0,164,2022-02-15 02:44:02,504567,1303389
0,165,2022-02-15 02:45:02,504535,1303473
0,166,2022-02-15 02:46:03,504460,1303666
0,167,2022-02-15 02:47:02,504456,1303675
0,168,2022-02-15 02:48:02,504470,1303641
0,169,2022-02-15 02:49:04,504470,1303641
0,170,2022-02-15 02:50:07,502660,1308349
0,171,2022-02-15 02:51:02,502660,1308349
0,172,2022-02-15 02:52:03,502660,1308349
0,173,2022-02-15 02:53:02,502660,1308349
0,174,2022-02-15 02:54:04,502624,1308443
0,175,2022-02-15 02:55:02,502624,1308443
0,176,2022-02-15 02:56:02,502628,1308433
0,177,2022-02-15 02:57:01,502617,1308461
0,178,2022-02-15 02:58:02,501918,1310291
0,179,2022-02-15 02:59:02,501981,1310127
0,180,2022-02-15 03:00:03,501755,1310718
0,181,2022-02-15 03:01:01,501796,1310611
0,182,2022-02-15 03:02:01,501796,1310611
0,183,2022-02-15 03:03:03,501796,1310611
0,184,2022-02-15 03:04:02,501750,1310734
0,185,2022-02-15 03:05:04,501750,1310734
0,186,2022-02-15 03:06:02,501750,1310734
0,187,2022-02-15 03:07:02,501750,1310734
0,188,2022-02-15 03:08:02,501766,1310690
0,189,2022-02-15 03:09:02,501776,1310664
0,190,2022-02-15 03:10:02,501762,1310702
0,191,2022-02-15 03:11:01,501774,1310670
0,192,2022-02-15 03:12:03,501774,1310670
0,193,2022-02-15 03:13:03,501774,1310670
0,194,2022-02-15 03:14:01,501774,1310670
0,195,2022-02-15 03:15:02,501774,1310670
0,196,2022-02-15 03:16:04,501774,1310670
0,197,2022-02-15 03:17:03,501886,1310379
0,198,2022-02-15 03:18:02,501886,1310379
0,199,2022-02-15 03:19:03,501886,1310379
0,200,2022-02-15 03:20:02,501856,1310457
0,201,2022-02-15 03:21:02,501874,1310411
0,202,2022-02-15 03:22:02,501915,1310304
0,203,2022-02-15 03:23:03,501915,1310304
0,204,2022-02-15 03:24:03,501915,1310304
0,205,2022-02-15 03:25:04,501915,1310304
0,206,2022-02-15 03:26:02,501915,1310304
0,207,2022-02-15 03:27:02,501915,1310304
0,208,2022-02-15 03:28:02,501929,1310266
0,209,2022-02-15 03:29:02,501867,1310429
0,210,2022-02-15 03:30:04,501867,1310429
0,211,2022-02-15 03:31:03,501867,1310429
0,212,2022-02-15 03:32:03,501883,1310387
0,213,2022-02-15 03:33:07,501883,1310387
0,214,2022-02-15 03:34:02,501883,1310387
0,215,2022-02-15 03:35:02,501880,1310395
0,216,2022-02-15 03:36:03,501880,1310395
0,217,2022-02-15 03:37:02,501880,1310395
0,218,2022-02-15 03:38:02,501880,1310395
0,219,2022-02-15 03:39:02,501837,1310510
0,220,2022-02-15 03:40:03,501837,1310510
0,221,2022-02-15 03:41:02,501837,1310510
0,222,2022-02-15 03:42:05,501775,1310671
0,223,2022-02-15 03:43:02,501830,1310528
0,224,2022-02-15 03:44:03,501830,1310528
0,225,2022-02-15 03:45:01,501830,1310528
0,226,2022-02-15 03:46:03,502813,1307973
0,227,2022-02-15 03:47:04,502799,1308011
0,228,2022-02-15 03:48:04,502798,1308011
0,229,2022-02-15 03:49:02,502731,1308187
0,230,2022-02-15 03:50:02,502710,1308242
0,231,2022-02-15 03:51:01,502710,1308242
0,232,2022-02-15 03:52:03,502710,1308242
0,233,2022-02-15 03:53:03,502675,1308332
0,234,2022-02-15 03:54:03,502639,1308428
0,235,2022-02-15 03:55:03,502639,1308428
0,236,2022-02-15 03:56:04,502680,1308321
0,237,2022-02-15 03:57:05,502468,1308876
0,238,2022-02-15 03:58:02,502468,1308876
0,239,2022-02-15 03:59:04,502468,1308876
0,240,2022-02-15 04:00:01,502511,1308763
0,241,2022-02-15 04:01:04,502511,1308763
0,242,2022-02-15 04:02:02,502511,1308763
0,243,2022-02-15 04:03:01,502511,1308763
0,244,2022-02-15 04:04:02,502511,1308763
0,245,2022-02-15 04:05:02,502511,1308763
0,246,2022-02-15 04:06:02,502352,1309179
0,247,2022-02-15 04:07:03,502352,1309179
0,248,2022-02-15 04:08:03,502155,1309693
0,249,2022-02-15 04:09:02,502141,1309731
0,250,2022-02-15 04:10:04,502141,1309731
0,251,2022-02-15 04:11:04,502105,1309825
0,252,2022-02-15 04:12:02,501746,1310766
0,253,2022-02-15 04:13:02,501746,1310766
0,254,2022-02-15 04:14:02,501744,1310771
0,255,2022-02-15 04:15:02,501679,1310940
0,256,2022-02-15 04:16:02,501597,1311156
0,257,2022-02-15 04:17:02,500680,1313565
0,258,2022-02-15 04:18:02,500690,1313537
0,259,2022-02-15 04:19:02,500690,1313537
0,260,2022-02-15 04:20:03,500676,1313575
0,261,2022-02-15 04:21:02,500733,1313426
0,262,2022-02-15 04:22:01,500733,1313426
0,263,2022-02-15 04:23:03,500733,1313426
0,264,2022-02-15 04:24:06,500733,1313426
0,265,2022-02-15 04:25:02,500733,1313426
0,266,2022-02-15 04:26:02,500729,1313436
0,267,2022-02-15 04:27:02,500737,1313416
0,268,2022-02-15 04:28:02,500737,1313416
0,269,2022-02-15 04:29:02,500737,1313416
0,270,2022-02-15 04:30:05,500737,1313416
0,271,2022-02-15 04:31:02,500733,1313425
0,272,2022-02-15 04:32:02,500795,1313263
0,273,2022-02-15 04:33:01,500959,1312836
0,274,2022-02-15 04:34:03,500942,1312879
0,275,2022-02-15 04:35:02,500936,1312896
0,276,2022-02-15 04:36:03,500936,1312896
0,277,2022-02-15 04:37:03,500888,1313023
0,278,2022-02-15 04:38:02,500860,1313095
0,279,2022-02-15 04:39:01,500860,1313095
0,280,2022-02-15 04:40:02,500860,1313095
0,281,2022-02-15 04:41:02,500842,1313142
0,282,2022-02-15 04:42:03,500842,1313142
0,283,2022-02-15 04:43:02,500842,1313142
0,284,2022-02-15 04:44:02,500858,1313102
0,285,2022-02-15 04:45:02,500858,1313102
0,286,2022-02-15 04:46:05,500848,1313129
0,287,2022-02-15 04:47:02,500848,1313129
0,288,2022-02-15 04:48:04,500865,1313083
0,289,2022-02-15 04:49:02,500865,1313083
0,290,2022-02-15 04:50:01,500865,1313083
0,291,2022-02-15 04:51:03,500875,1313056
0,292,2022-02-15 04:52:04,500875,1313056
0,293,2022-02-15 04:53:01,500875,1313056
0,294,2022-02-15 04:54:02,500875,1313056
0,295,2022-02-15 04:55:01,500875,1313056
0,296,2022-02-15 04:56:02,500875,1313056
0,297,2022-02-15 04:57:03,500875,1313056
0,298,2022-02-15 04:58:02,500875,1313056
0,299,2022-02-15 04:59:07,500875,1313056
0,300,2022-02-15 05:00:02,500857,1313103
0,301,2022-02-15 05:01:02,500857,1313103
0,302,2022-02-15 05:02:02,500857,1313103
0,303,2022-02-15 05:03:07,500846,1313133
0,304,2022-02-15 05:04:02,500846,1313133
0,305,2022-02-15 05:05:02,500656,1313633
0,306,2022-02-15 05:06:03,500656,1313633
0,307,2022-02-15 05:07:06,500631,1313700
0,308,2022-02-15 05:08:02,500631,1313700
0,309,2022-02-15 05:09:02,500631,1313700
0,310,2022-02-15 05:10:03,500631,1313700
0,311,2022-02-15 05:11:02,500631,1313700
0,312,2022-02-15 05:12:07,500631,1313700
0,313,2022-02-15 05:13:02,500613,1313747
0,314,2022-02-15 05:14:02,500613,1313747
0,315,2022-02-15 05:15:03,500584,1313824
0,316,2022-02-15 05:16:03,500584,1313824
0,317,2022-02-15 05:17:02,500400,1314309
0,318,2022-02-15 05:18:03,500400,1314309
0,319,2022-02-15 05:19:03,500128,1315025
0,320,2022-02-15 05:20:07,500128,1315025
0,321,2022-02-15 05:21:03,500148,1314973
0,322,2022-02-15 05:22:02,500144,1314982
0,323,2022-02-15 05:23:03,500144,1314982
0,324,2022-02-15 05:24:02,500144,1314982
0,325,2022-02-15 05:25:02,500144,1314982
0,326,2022-02-15 05:26:04,500144,1314982
0,327,2022-02-15 05:27:02,500144,1314982
0,328,2022-02-15 05:28:02,500144,1314982
0,329,2022-02-15 05:29:02,500144,1314982
0,330,2022-02-15 05:30:03,500144,1314982
0,331,2022-02-15 05:31:01,500144,1314982
0,332,2022-02-15 05:32:02,500144,1314982
0,333,2022-02-15 05:33:05,500158,1314947
0,334,2022-02-15 05:34:02,500132,1315014
0,335,2022-02-15 05:35:03,500132,1315014
0,336,2022-02-15 05:36:02,500131,1315017
0,337,2022-02-15 05:37:01,500131,1315017
0,338,2022-02-15 05:38:02,499898,1315632
0,339,2022-02-15 05:39:02,499912,1315596
0,340,2022-02-15 05:40:01,499912,1315596
0,341,2022-02-15 05:41:04,499814,1315856
0,342,2022-02-15 05:42:02,499814,1315856
0,343,2022-02-15 05:43:01,499814,1315856
0,344,2022-02-15 05:44:03,499814,1315856
0,345,2022-02-15 05:45:01,499814,1315856
0,346,2022-02-15 05:46:02,499825,1315827
0,347,2022-02-15 05:47:02,499822,1315833
0,348,2022-02-15 05:48:03,499822,1315834
0,349,2022-02-15 05:49:03,499806,1315877
0,350,2022-02-15 05:50:02,499789,1315921
0,351,2022-02-15 05:51:02,499794,1315909
0,352,2022-02-15 05:52:04,499794,1315909
0,353,2022-02-15 05:53:01,499794,1315909
0,354,2022-02-15 05:54:02,499794,1315909
0,355,2022-02-15 05:55:03,499776,1315957
0,356,2022-02-15 05:56:03,499773,1315964
0,357,2022-02-15 05:57:02,499767,1315978
0,358,2022-02-15 05:58:02,499767,1315978
0,359,2022-02-15 05:59:03,499767,1315978
0,360,2022-02-15 06:00:02,499652,1316284
0,361,2022-02-15 06:01:03,499652,1316284
0,362,2022-02-15 06:02:07,499652,1316284
0,363,2022-02-15 06:03:02,499620,1316368
0,364,2022-02-15 06:04:02,499617,1316377
0,365,2022-02-15 06:05:02,499595,1316435
0,366,2022-02-15 06:06:03,499595,1316435
0,367,2022-02-15 06:07:01,499595,1316435
0,368,2022-02-15 06:08:06,499589,1316450
0,369,2022-02-15 06:09:01,499589,1316450
0,370,2022-02-15 06:10:02,499586,1316459
0,371,2022-02-15 06:11:03,499586,1316459
0,372,2022-02-15 06:12:02,499486,1316723
0,373,2022-02-15 06:13:02,499486,1316723
0,374,2022-02-15 06:14:02,499522,1316630
0,375,2022-02-15 06:15:03,499522,1316630
0,376,2022-02-15 06:16:03,499522,1316630
0,377,2022-02-15 06:17:01,499522,1316630
0,378,2022-02-15 06:18:02,499514,1316649
0,379,2022-02-15 06:19:02,499510,1316659
0,380,2022-02-15 06:20:02,499502,1316681
0,381,2022-02-15 06:21:02,499502,1316681
